,Model,Source,Split,Dataset,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,num_nonzero_coefs,prot_length
608,ESM-2 650M,cellular,Site Split,TIM_THETH,4,0.6836191954494768,0.4491500272386933,0.5618639557353957,-0.0457226440907618,0.8315937758467888,1.020889901368336,0.8137410050430854,0.361731088781203,145,254
609,ESM-2 650M,cellular,Site Split,TIM_THETH,5,0.4437459282888928,0.6358608382060428,0.7539984969380332,0.0217299219304745,0.7957717599203942,0.9355176226600768,0.6828682579121819,0.2225877548928318,34,254
610,ESM-2 650M,cellular,Site Split,CALM1_HUMAN_Roth2017,1,0.1621458108709015,0.7150889086671851,0.9134603278676604,0.0540518323021433,0.7656680480765724,0.9795349022502644,0.3897412533767977,0.2566391734932703,87,149
611,ESM-2 650M,cellular,Site Split,CALM1_HUMAN_Roth2017,2,0.1524252141905128,0.7168435138348057,0.9152160560373722,-0.0022235292012491,0.7682442369524084,1.0209534181157276,0.4039551804792441,0.1772460952414165,72,149
612,ESM-2 650M,cellular,Site Split,CALM1_HUMAN_Roth2017,3,0.0809294674134928,0.7554662256154672,0.9501169765000708,0.0332937326699818,0.7978989773153514,1.0140751921231146,0.2908604943689342,0.2057866556690221,34,149
613,ESM-2 650M,cellular,Site Split,CALM1_HUMAN_Roth2017,4,0.0577184600420291,0.7873566692108926,0.9867484664250764,0.013589309499767,0.7524703189267381,0.9226922136672416,0.2530873445458725,0.1375448879065919,19,149
614,ESM-2 650M,cellular,Site Split,CALM1_HUMAN_Roth2017,5,0.1305619376351459,0.7245718091493166,0.9249270915172156,-0.0332713810811982,0.7894335227949336,1.0409998122171142,0.3504309273392439,0.0977586658623824,55,149
615,ESM-2 650M,cellular,Site Split,HSP82_YEAST_Bolon2016,1,0.5651205208484552,0.4520776414151255,0.6625406977238252,0.3321405458207316,0.5552699232770774,0.8021308623159404,0.5448902975801204,0.5207595395222643,86,709
616,ESM-2 650M,cellular,Site Split,HSP82_YEAST_Bolon2016,2,0.5476324519700926,0.4722722943954567,0.6886992993922396,0.3400040652617203,0.4972704512650887,0.7280621860700575,0.5718315293508418,0.3775596079925482,86,709
617,ESM-2 650M,cellular,Site Split,HSP82_YEAST_Bolon2016,3,0.5961418632878369,0.4258589125205945,0.622823165488627,0.2937627648341849,0.596789190688533,0.901335639525052,0.5593561002693135,0.4923609918712009,120,709
618,ESM-2 650M,cellular,Site Split,HSP82_YEAST_Bolon2016,4,0.6053757481250732,0.4546041086676674,0.658449341918768,0.1322253294820924,0.4855274660093202,0.6863423416425961,0.5894329773888508,0.3366527969297643,108,709
619,ESM-2 650M,cellular,Site Split,HSP82_YEAST_Bolon2016,5,0.5450697706639338,0.4860362372011533,0.7039971742752514,0.1926574657023035,0.4937161153395984,0.7022847772460715,0.5714239273243616,0.3846894151447279,89,709
620,ESM-2 650M,cellular,Site Split,B3VI55_LIPST_Whitehead2015,1,0.15309765497794,0.6823034437372253,0.9122065465968876,0.1392382520003808,0.7006078861560974,0.9568275597238268,0.4094297983469108,0.3924148639651326,40,439
621,ESM-2 650M,cellular,Site Split,B3VI55_LIPST_Whitehead2015,2,0.2140529200346748,0.6689755135084188,0.8943789930641082,0.0932778846558031,0.7018357493372888,0.917599069820238,0.4568674858456075,0.3526820974856574,87,439
