,Source,Dataset,Split,R2,Model,lassoCV_R2
197,viral,HIV1_HV1B9_ENV_DuenasDecamp,pooled,0.21869697394667206,esm2_viral_full,0.26796524634394975
200,viral,IAV_H1_HA_Doud,pooled,0.5493610307680372,esm2_650m,0.47272097629762766
201,viral,IAV_H1_HA_Doud,pooled,0.5493610307680372,esm2_viral_full,0.4835384311373898
204,viral,IAV_H1_HA_Wu,pooled,-0.23053993153734595,esm2_650m,0.034240242350323837
205,viral,IAV_H1_HA_Wu,pooled,-0.23053993153734595,esm2_viral_full,0.03207787591986313
208,viral,IAV_H1_NP_Doud,pooled,0.29427574565432035,esm2_650m,0.21782713731454725
209,viral,IAV_H1_NP_Doud,pooled,0.29427574565432035,esm2_viral_full,0.2759764001460827
212,viral,IAV_H3_HA_Lee,pooled,0.5716000754921993,esm2_650m,0.4294309068284588
213,viral,IAV_H3_HA_Lee,pooled,0.5716000754921993,esm2_viral_full,0.48179329168729756
216,viral,IAV_H3_NP_Doud,pooled,0.4656764337269624,esm2_650m,0.31113731102145364
217,viral,IAV_H3_NP_Doud,pooled,0.4656764337269624,esm2_viral_full,0.3430396472534232
220,viral,IAV_H5_HA_Dadonaite,pooled,0.48268188373836235,esm2_650m,0.43931003186549306
221,viral,IAV_H5_HA_Dadonaite,pooled,0.48268188373836235,esm2_viral_full,0.47746884073978024
224,viral,IAV_NA_Jiang,pooled,0.46671333782741287,esm2_650m,0.43385937261167884
225,viral,IAV_NA_Jiang,pooled,0.46671333782741287,esm2_viral_full,0.38366729738434385
228,viral,IAV_PA_Wu,pooled,-0.36679217150053584,esm2_650m,0.027403086449115033
229,viral,IAV_PA_Wu,pooled,-0.36679217150053584,esm2_viral_full,0.04864478172152653
232,viral,IAV_PB2_Soh,pooled,0.45992055144536953,esm2_650m,0.24921649845682523
233,viral,IAV_PB2_Soh,pooled,0.45992055144536953,esm2_viral_full,0.3006915895862005
236,viral,IAV_RDRP_Li,pooled,0.2736260483129728,esm2_650m,0.25062114193679047
237,viral,IAV_RDRP_Li,pooled,0.2736260483129728,esm2_viral_full,0.3056563660131208
240,viral,LAMBDA_HCP_Tsuboyama,pooled,0.6530601009571293,esm2_650m,0.8383600520775419
241,viral,LAMBDA_HCP_Tsuboyama,pooled,0.6530601009571293,esm2_viral_full,0.7880488563832806
244,viral,LASSA_GP_Carr,pooled,0.410884334798533,esm2_650m,0.3714867282327352
245,viral,LASSA_GP_Carr,pooled,0.410884334798533,esm2_viral_full,0.3905381393253806
248,viral,NIPAH_F_Larsen,pooled,0.5078261614211074,esm2_650m,0.4582598841273143
249,viral,NIPAH_F_Larsen,pooled,0.5078261614211074,esm2_viral_full,0.4441278780035845
252,viral,RmYN02_RBD_Starr,pooled,0.24904025910188024,esm2_650m,0.15052433622460581
253,viral,RmYN02_RBD_Starr,pooled,0.24904025910188024,esm2_viral_full,0.19679778378035304
256,viral,RsYN04_RBD_Starr,pooled,0.5027664290977653,esm2_650m,0.24917601935751707
257,viral,RsYN04_RBD_Starr,pooled,0.5027664290977653,esm2_viral_full,0.27721962680787754
260,viral,SARS2_BA1_SPIKE_Dadonaite,pooled,0.23083454288586794,esm2_650m,0.2616966621594536
261,viral,SARS2_BA1_SPIKE_Dadonaite,pooled,0.23083454288586794,esm2_viral_full,0.351961825160472
264,viral,SARS2_DELTA_SPIKE_Dadonaite,pooled,-0.23176102990050265,esm2_650m,0.0109749672417017
265,viral,SARS2_DELTA_SPIKE_Dadonaite,pooled,-0.23176102990050265,esm2_viral_full,0.0534467446077282
268,viral,SARS2_MRPO_Flynn,pooled,0.6645724825047467,esm2_650m,0.45395291927473663
269,viral,SARS2_MRPO_Flynn,pooled,0.6645724825047467,esm2_viral_full,0.5289173272257677
272,viral,SARS2_PLPRO_abundance_Wu,pooled,0.43989168704435605,esm2_650m,0.36304580723994384
273,viral,SARS2_PLPRO_abundance_Wu,pooled,0.43989168704435605,esm2_viral_full,0.3479356866936317
276,viral,SARS2_PLPRO_activity_Wu,pooled,0.6070928041595779,esm2_650m,0.4703767392358212
277,viral,SARS2_PLPRO_activity_Wu,pooled,0.6070928041595779,esm2_viral_full,0.5063790767789352
280,viral,SARS2_PRD0038_RBD_Starr,pooled,0.5914296864543611,esm2_650m,0.47618343527994145
281,viral,SARS2_PRD0038_RBD_Starr,pooled,0.5914296864543611,esm2_viral_full,0.658857021477574
284,viral,SARS2_RBD_binding_Starr,pooled,0.6135464713458002,esm2_650m,0.524775729917225
285,viral,SARS2_RBD_binding_Starr,pooled,0.6135464713458002,esm2_viral_full,0.5967714998556333
288,viral,SARS2_RBD_expression_Starr,pooled,0.6950232014663101,esm2_650m,0.5717807232417865
289,viral,SARS2_RBD_expression_Starr,pooled,0.6950232014663101,esm2_viral_full,0.6295899903395445
292,viral,SARS2_XBB15_RBD_Taylor,pooled,0.629745931652599,esm2_650m,0.4889318318901617
293,viral,SARS2_XBB15_RBD_Taylor,pooled,0.629745931652599,esm2_viral_full,0.6710390980919788
