,Dataset,Source,Model,R2
144,UBC9_HUMAN_Roth2017,Cellular,R2_mut,0.0271
145,PABP_YEAST_Fields2013_doubles,Cellular,R2_mut,0.0382
146,BLAT_ECOLX_Tenaillon2013,Cellular,R2_mut,0.101
147,SUMO1_HUMAN_Roth2017,Cellular,R2_mut,0.0249
148,CALM1_HUMAN_Roth2017,Cellular,R2_mut,0.0246
149,parEparD_Laub2015_all,Cellular,R2_mut,0.0377
150,BLAT_ECOLX_Ranganathan2015,Cellular,R2_mut,0.0709
151,BRCA1_HUMAN_BRCT,Cellular,R2_mut,0.0382
152,YAP1_HUMAN_Fields2012_singles,Cellular,R2_mut,0.0866
153,B3VI55_LIPST_Whitehead2015,Cellular,R2_mut,0.0114
154,B3VI55_LIPSTSTABLE,Cellular,R2_mut,0.0732
155,RL401_YEAST_Bolon2013,Cellular,R2_mut,0.076
156,RL401_YEAST_Bolon2014,Cellular,R2_mut,0.071
157,BLAT_ECOLX_Palzkill2012,Cellular,R2_mut,0.0375
158,HIV1_HV1B9_ENV_DuenasDecamp,Viral,R2_site+mut,0.3486
159,BPP22_COAT_Tsuboyama,Viral,R2_site+mut,0.7677
160,AAV2_CAPSD_Sinai,Viral,R2_site+mut,0.2958
161,IAV_RDRP_Li,Viral,R2_site+mut,0.4163
162,EV_CAPSD_Bakhache,Viral,R2_site+mut,0.3599
163,CVB3_2B_Alvarez,Viral,R2_site+mut,0.4581
164,CVB3_3B_Alvarez,Viral,R2_site+mut,0.5248
165,PESV_POLG_Tsuboyama,Viral,R2_site+mut,0.5531
166,RsYN04_RBD_Starr,Viral,R2_site+mut,0.6834
167,DENV_POLG_Suphatrakul,Viral,R2_site+mut,0.6494
168,HIV1_BG505_ENV_Haddox,Viral,R2_site+mut,0.6969
169,IAV_PB2_Soh,Viral,R2_site+mut,0.5769
170,CVB3_POLG_Mattenberger,Viral,R2_site+mut,0.5973
171,IAV_NA_Jiang,Viral,R2_site+mut,0.6911
172,IAV_H1_HA_Wu,Viral,R2_site+mut,0.3587
173,BP434_RPC1_Tsuboyama,Viral,R2_site+mut,0.7398
174,CVB3_VP1_Alvarez,Viral,R2_site+mut,0.4089
175,SARS2_DELTA_SPIKE_Dadonaite,Viral,R2_site+mut,0.1979
176,EV_REP_Bakhache,Viral,R2_site+mut,0.443
177,CVB3_3D_Alvarez,Viral,R2_site+mut,0.3929
178,NIPAH_F_Larsen,Viral,R2_site+mut,0.6199
179,IAV_H5_HA_Dadonaite,Viral,R2_site+mut,0.6081
180,SARS2_XBB15_RBD_Taylor,Viral,R2_site+mut,0.6875
181,HIV1_BF520_ENV_Haddox,Viral,R2_site+mut,0.7123
182,CVB3_VP3_Alvarez,Viral,R2_site+mut,0.3034
183,IAV_H3_HA_Lee,Viral,R2_site+mut,0.6521
184,RmYN02_RBD_Starr,Viral,R2_site+mut,0.3676
185,IAV_H3_NP_Doud,Viral,R2_site+mut,0.5833
186,IAV_H1_HA_Doud,Viral,R2_site+mut,0.6481
187,IAV_H1_NP_Doud,Viral,R2_site+mut,0.4192
188,IAV_PA_Wu,Viral,R2_site+mut,0.5419
189,SARS2_MRPO_Flynn,Viral,R2_site+mut,0.7513
190,SARS2_PLPRO_abundance_Wu,Viral,R2_site+mut,0.556
191,LAMBDA_HCP_Tsuboyama,Viral,R2_site+mut,0.7645
192,SARS2_PRD0038_RBD_Starr,Viral,R2_site+mut,0.6682
193,CVB3_3C_Alvarez,Viral,R2_site+mut,0.396
194,CVB3_2C_Alvarez,Viral,R2_site+mut,0.409
195,LASSA_GP_Carr,Viral,R2_site+mut,0.5254
196,SARS2_RBD_binding_Starr,Viral,R2_site+mut,0.7194
197,CVB3_2A_Alvarez,Viral,R2_site+mut,0.6553
198,CVB3_3A_Alvarez,Viral,R2_site+mut,0.4731
