,Dataset,Source,Split,R2_AVG,R2_ESM2_3B_Sawhney,R2_ESM2_650M,R2_ESM2_CRVDB,R2_ESM2_URVDB,R2_ESMC_600M
38,IAV_PA_Wu,viral,pool_split,-0.36679217150053584,-0.00713478394202544,0.02644054874585946,0.0375849485519977,0.04449323610448146,0.026794695028989977
39,IAV_PB2_Soh,viral,pool_split,0.45992055144536953,0.33638551169958114,0.2530761290469108,0.29629580309119924,0.30973521796850423,0.22121184301504643
40,IAV_RDRP_Li,viral,pool_split,0.2736260483129728,0.3124289133836885,0.24821353198114862,0.24870745523647617,0.2712269775922899,0.17717802030705557
41,IF1_ECOLI,cellular,pool_split,0.35418805338641884,0.656558326962374,0.6242786491706649,0.6579566975816615,0.6141339238642332,0.6947146704896803
42,KKA2_KLEPN_Mikkelsen2014,cellular,pool_split,0.4526502634427947,0.49954071981073955,0.47810628881370576,0.46226353191576397,0.4570571514586944,0.4758609934500151
43,LAMBDA_HCP_Tsuboyama,viral,pool_split,0.6530601009571293,0.866440360510178,0.8407948185636697,0.8365064997722929,0.851158256796668,0.7375449166209768
44,LASSA_GP_Carr,viral,pool_split,0.410884334798533,0.4201437630293149,0.3683938926999416,0.38092056242986166,0.3923978671592697,0.3237777702246201
45,MK01_HUMAN_Johannessen,cellular,pool_split,0.1328181681521322,0.1928202655423275,0.1788196898488067,0.16586126025704404,0.1753740734777221,0.20226599293485345
46,MTH3_HAEAESTABILIZED_Tawfik2015,cellular,pool_split,0.36578898613116584,0.3628976275422193,0.3764129518466862,0.3289137784953046,0.33508793341983634,0.42353853143943415
47,NIPAH_F_Larsen,viral,pool_split,0.5078261614211074,0.5444362291071472,0.45132614100725144,0.47547681480180304,0.47190579641720054,0.39831899334357745
48,PABP_YEAST_Fields2013_singles,cellular,pool_split,0.4705366375474594,0.6602333444141235,0.6656198840311763,0.6412512211507725,0.6244420807692892,0.7435118786572639
49,PTEN_HUMAN_Fowler2018,cellular,pool_split,0.40444642223171945,0.5277797506854578,0.5117983649899391,0.4812653511001349,0.4896942090263535,0.5706424756938471
50,RASH_HUMAN_Kuriyan,cellular,pool_split,0.5090670105673926,0.6480166669025965,0.64659655075451,0.5950104544278968,0.6143064241505802,0.6286323167833134
51,RL401_YEAST_Bolon2013,cellular,pool_split,0.4115967297256847,0.6230131175061464,0.6284223097742357,0.5929550844925375,0.5727720696898483,0.6252941696986822
52,RL401_YEAST_Bolon2014,cellular,pool_split,0.4338192278485094,0.6521069229066674,0.6677377319549327,0.6248954819140815,0.6121367905480557,0.6130200173282182
53,RL401_YEAST_Fraser2016,cellular,pool_split,0.43185756976865375,0.5323139068897972,0.5113121921584195,0.509406922692005,0.4981602857343684,0.5338755722311854
54,RmYN02_RBD_Starr,viral,pool_split,0.24904025910188024,0.1595640405798756,0.1664442372257749,0.18594786958302437,0.1800246872024652,0.16179920166106954
55,RsYN04_RBD_Starr,viral,pool_split,0.5027664290977653,0.2812496926948163,0.2866957371321284,0.3310762367319715,0.407725515653839,0.3182452507159123
