,Model,Source,Dataset,Split,train_loss,train_r2,train_rho,val_loss,val_r2,val_rho,protein_length,sample_size
15,esm2_t33_650M_UR50D,viral,EV_CAPSD_Bakhache,Site Split,3.9697418212890625,-0.0139855543772379,0.002828187503231067,3.5345801512400308,-0.0006077885627746407,0.10128632187843317,862,16378
16,esm2_t33_650M_UR50D,viral,HIV1_BF520_ENV_Haddox,Pooled Split,1.87954048315684,0.577161431312561,0.7539675037066141,1.8893256584803264,0.57846466700236,0.7629096508026123,852,12577
17,esm2_t33_650M_UR50D,viral,HIV1_BF520_ENV_Haddox,Site Split,4.011010805765788,0.09365141391754143,0.271602138876915,4.154083728790283,0.08647898832956946,0.3622173766295114,852,12577
18,esm2_t33_650M_UR50D,viral,HIV1_BG505_ENV_Haddox,Pooled Split,2.2860831022262573,0.537968635559082,0.7243187427520752,2.305614789326986,0.5341060360272726,0.7552594939867655,860,12729
19,esm2_t33_650M_UR50D,viral,HIV1_BG505_ENV_Haddox,Site Split,3.9164989789326987,0.21093453963597616,0.44614818692207336,4.20025634765625,0.12625871102015174,0.3621208866437276,860,12729
20,esm2_t33_650M_UR50D,viral,IAV_H1_HA_Doud,Pooled Split,0.9252393245697021,0.4117272098859151,0.644033670425415,0.9170853098233541,0.40340922276179,0.6907615860303243,565,10715
21,esm2_t33_650M_UR50D,viral,IAV_H1_HA_Doud,Site Split,1.2239855726559956,0.21339764197667435,0.45777138074239093,1.3099831342697144,0.17671483755111692,0.45566211144129437,565,10715
22,esm2_t33_650M_UR50D,viral,IAV_H1_HA_Wu,Pooled Split,0.9052685697873434,-0.015758554140726702,0.00014578814928726687,1.3304807146390278,5.7478745778401695e-05,0.21336238582928976,565,2350
23,esm2_t33_650M_UR50D,viral,IAV_H1_HA_Wu,Site Split,0.9913364847501119,-0.020525813102722102,-0.007242461045583099,1.0534325043360393,1.045068105061849e-05,0.28599225481351215,565,2350
24,esm2_t33_650M_UR50D,viral,IAV_H1_NP_Doud,Pooled Split,1.1674279769261677,0.2224486668904622,0.47058504819869995,1.1680938005447388,0.22175159056981397,0.47405047218004864,498,9462
25,esm2_t33_650M_UR50D,viral,IAV_H1_NP_Doud,Site Split,1.4356656471888225,0.036010662714640235,0.1665067225694656,1.500125487645467,0.0233392715454101,0.23730047047138206,498,9462
26,esm2_t33_650M_UR50D,viral,IAV_H3_HA_Lee,Pooled Split,0.5234815180301666,0.48003705342610675,0.7034737467765808,0.5270516077677408,0.48568568627039593,0.7203711072603861,566,10754
27,esm2_t33_650M_UR50D,viral,IAV_H3_HA_Lee,Site Split,0.8856698274612427,0.12084529797236121,0.301658421754837,0.9030822118123373,0.11582048734029131,0.38596118489901227,566,10754
28,esm2_t33_650M_UR50D,viral,IAV_H3_NP_Doud,Pooled Split,0.7737856507301331,0.3386694590250651,0.5449568827946981,0.7943109075228373,0.3395826617876689,0.5720689495404562,498,9462
29,esm2_t33_650M_UR50D,viral,IAV_H3_NP_Doud,Site Split,1.1980547110239665,0.0024598836898803676,0.10054892984529333,1.056351900100708,0.02100843191146848,0.18077310671408972,498,9462
30,esm2_t33_650M_UR50D,viral,IAV_H5_HA_Dadonaite,Pooled Split,3.780715306599935,0.3694564700126648,0.5413450797398885,3.7635726928710938,0.37022143602371216,0.6154971122741699,567,10550
31,esm2_t33_650M_UR50D,viral,IAV_H5_HA_Dadonaite,Site Split,4.8522114753723145,0.18648914496103922,0.3771441181500752,5.031985918680827,0.17600703239440915,0.4598094622294108,567,10550
32,esm2_t33_650M_UR50D,viral,IAV_PB2_Soh,Pooled Split,0.17090924580891922,0.1178577939669291,0.2027884037233889,0.14181515077749884,0.1222505172093709,0.3941749682029088,759,14421
33,esm2_t33_650M_UR50D,viral,IAV_PB2_Soh,Site Split,0.19388572374979648,0.02819363276163737,0.10561788744234941,0.1342768346269925,0.034744302431742306,0.228816956281662,759,14421
34,esm2_t33_650M_UR50D,viral,IAV_RDRP_Li,Pooled Split,0.3585129678249359,0.1325490872065226,0.29374961803356797,0.3474862277507782,0.13471722602844236,0.40205277999242145,757,12003
35,esm2_t33_650M_UR50D,viral,IAV_RDRP_Li,Site Split,0.41818031668663025,-0.023760954538981065,-0.0005062536802142668,0.4179824988047281,0.00013697147369380806,0.18934195737044013,757,12003
36,esm2_t33_650M_UR50D,viral,LASSA_GP_Carr,Pooled Split,1.3941388527552288,0.33205358187357586,0.5435943404833475,1.3869415918986003,0.3324515223503113,0.5788374741872152,491,9275
37,esm2_t33_650M_UR50D,viral,LASSA_GP_Carr,Site Split,1.8857342799504597,0.097449779510498,0.26043260594209033,1.8582995335261028,0.1002346277236938,0.2974212616682052,491,9275
38,esm2_t33_650M_UR50D,viral,NIPAH_F_Larsen,Pooled Split,0.8335281411806742,0.522978663444519,0.5991372068723043,0.8252508242925009,0.5176271994908651,0.6512588659922282,602,10079
39,esm2_t33_650M_UR50D,viral,NIPAH_F_Larsen,Site Split,1.4262914657592773,0.19262975454330444,0.3408533086379369,1.4037803014119465,0.13677060604095456,0.31677407026290894,602,10079
40,esm2_t33_650M_UR50D,viral,RmYN02_RBD_Starr,Pooled Split,0.8892994920412699,0.19380174080530801,0.43397168318430585,0.7162502408027649,0.18769790728886918,0.6027431885401408,491,3458
41,esm2_t33_650M_UR50D,viral,RmYN02_RBD_Starr,Site Split,0.9432181119918823,0.12156556049982699,0.3867410620053609,0.9333131710688273,0.0587634444236755,0.4154588480790456,491,3458
42,esm2_t33_650M_UR50D,viral,RsYN04_RBD_Starr,Pooled Split,0.553610603014628,0.6468130747477213,0.3889501889546712,0.487534632285436,0.6523760358492533,0.5520635147889456,517,3743
43,esm2_t33_650M_UR50D,viral,RsYN04_RBD_Starr,Site Split,4.905205011367798,-1.7220233082771301,0.0683172677333156,0.4789867003758748,-0.0004316568374633656,0.14431065196792284,517,3743
